Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
META,02/23/24,486.28,492.56,480.60,482.27,18441692,-2.09,-0.43%
META,02/22/24,478.49,488.21,474.33,484.36,21684416,18.03,3.87%
META,02/21/24,464.80,467.30,460.11,466.33,12979030,-3.21,-0.68%
META,02/20/24,467.51,473.95,464.37,469.54,18081610,-1.56,-0.33%
META,02/16/24,475.87,476.71,467.01,471.10,23666562,-10.66,-2.21%
META,02/15/24,473.05,486.33,470.00,481.76,24302498,10.70,2.27%
META,02/14/24,465.74,471.89,463.90,471.06,16939028,13.10,2.86%
META,02/13/24,454.73,465.69,452.95,457.96,20999192,-8.74,-1.87%
META,02/12/24,465.99,476.90,464.39,466.70,19458906,0.79,0.17%
META,02/09/24,470.73,471.37,465.27,465.91,18500238,-1.88,-0.40%
META,02/08/24,466.12,468.38,462.85,467.80,19186988,0.41,0.09%
META,02/07/24,455.85,469.31,454.04,467.39,23150440,14.80,3.27%
META,02/06/24,461.82,464.93,450.88,452.59,21721646,-4.67,-1.02%
META,02/05/24,467.68,469.69,457.07,457.25,40963816,-15.51,-3.28%
META,02/02/24,457.44,483.68,450.88,472.76,85109544,79.83,20.32%
META,02/01/24,392.09,398.62,391.21,392.93,29034152,4.62,1.19%
META,01/31/24,387.18,396.13,385.28,388.31,20235486,-9.87,-2.48%
META,01/30/24,401.70,404.45,397.70,398.18,18903816,-0.96,-0.24%
META,01/29/24,393.13,401.04,391.26,399.14,18774320,6.85,1.75%
META,01/26/24,392.50,394.93,389.75,392.29,13237489,0.95,0.24%
META,01/25/24,388.34,393.63,383.85,391.34,15147971,2.47,0.63%
META,01/24/24,388.17,394.29,385.99,388.87,15800967,5.47,1.43%
META,01/23/24,382.81,386.56,380.28,383.39,15580434,3.40,0.90%
META,01/22/24,386.13,388.52,379.37,379.99,17753856,-1.66,-0.44%
META,01/19/24,377.22,382.56,376.20,381.65,21799812,7.29,1.95%
META,01/18/24,369.75,375.08,369.21,374.37,16481721,7.72,2.11%
META,01/17/24,364.58,366.81,356.93,366.64,13381928,0.91,0.25%
META,01/16/24,371.90,373.85,365.51,365.74,15376207,-7.00,-1.88%
META,01/12/24,368.41,375.29,367.81,372.73,19403778,4.80,1.30%
META,01/11/24,370.38,371.03,361.23,367.94,17267334,-0.80,-0.22%
META,01/10/24,358.48,371.19,357.40,368.73,22199788,12.98,3.65%
META,01/09/24,354.73,358.95,353.69,355.75,13519180,-1.23,-0.34%
META,01/08/24,353.04,357.30,350.40,356.98,13939957,6.68,1.91%
META,01/05/24,345.36,351.84,344.64,350.30,14078175,4.81,1.39%
META,01/04/24,342.88,346.52,341.79,345.49,12148768,2.64,0.77%
META,01/03/24,343.36,346.32,341.56,342.85,15513107,-1.81,-0.53%
